Sheet by Hematite based on 1.1 data provided by @Kaphotics!,,,,,,,,,,,,,,,,,,,,
Pokémon,,Sticker,Lv,Ability,,Item,Moves,Nature,EVs,,,,,,IVs,,,,,
,Graveler,,54,Sturdy,,,Harden / Smack Down / Bulldoze / Double-Edge,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,54,Inner Focus,,,Poison Fang / Quick Guard / Air Cutter / Bite,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 377,,Worker Willy,,,,,,,,,,,,,,,,,
,Onix,,31,Rock Head,,,Smack Down / Curse / Screech / Sand Tomb,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Graveler,,31,Rock Head,,,Sandstorm / Harden / Smack Down / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 378,,Worker Braden,,,,,,,,,,,,,,,,,
,Graveler,,33,Sturdy,,,Defense Curl / Sandstorm / Rollout / Bulldoze,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 379,,Worker Brendon,,,,,,,,,,,,,,,,,
,Onix,,29,Rock Head,,,Curse / Rock Slide / Screech / Sand Tomb,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Steelix,,33,Rock Head,,,Crunch / Thunder Fang / Ice Fang / Rock Slide,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 380,,Worker Quentin,,,,,,,,,,,,,,,,,
,Geodude,,27,Rock Head,,,Tackle / Sandstorm / Harden / Smack Down,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Graveler,,31,Rock Head,,,Sandstorm / Harden / Smack Down / Stealth Rock,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Onix,,31,Rock Head,,,Bind / Curse / Rock Slide / Sand Tomb,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 381,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Golbat,,37,Inner Focus,,,Screech / Poison Fang / Air Cutter / Bite,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 382,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Dustox,,35,Shield Dust,,,Venoshock / Leech Life / Toxic / Bug Buzz,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Bronzor,,35,Heatproof,,,Confuse Ray / Payback / Extrasensory / Heavy Slam,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 383,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Stunky,,37,Aftermath,,,Smokescreen / Venoshock / Toxic / Night Slash,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 384,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Wurmple,,32,Shield Dust,,,Tackle / String Shot / Poison Sting / Bug Bite,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Cascoon,,34,Shed Skin,,,String Shot / Poison Sting / Bug Bite / Harden,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Dustox,,36,Shield Dust,,,Psybeam / Leech Life / Toxic / Bug Buzz,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 385,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Bronzor,,36,Heatproof,,,Confuse Ray / Gyro Ball / Extrasensory / Iron Defense,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Stunky,,36,Aftermath,,,Bite / Venoshock / Toxic / Night Slash,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 386,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Golbat,,36,Inner Focus,,,Screech / Poison Fang / Air Cutter / Bite,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,36,Inner Focus,,,Screech / Poison Fang / Air Cutter / Bite,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 387,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Stunky,,36,Aftermath,,,Venoshock / Toxic / Memento / Night Slash,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Croagunk,,36,Anticipation,,,Mud-Slap / Revenge / Sucker Punch / Toxic,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 388,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Bronzor,,39,Heatproof,,,Confuse Ray / Extrasensory / Heavy Slam / Iron Defense,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 389,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Dustox,,35,Shield Dust,,,Psybeam / Light Screen / Toxic / Bug Buzz,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,38,Inner Focus,,,Supersonic / Poison Fang / Air Cutter / Bite,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Dustox,,35,Shield Dust,,,Psybeam / Leech Life / Toxic / Bug Buzz,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 390,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Stunky,,38,Aftermath,,,Venoshock / Toxic / Memento / Night Slash,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,38,Inner Focus,,,Screech / Astonish / Poison Fang / Bite,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 391,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Croagunk,,35,Anticipation,,,Taunt / Revenge / Sucker Punch / Poison Jab,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Stunky,,38,Aftermath,,,Venoshock / Screech / Toxic / Night Slash,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Croagunk,,38,Anticipation,,,Revenge / Venoshock / Sucker Punch / Toxic,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 392,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Golbat,,40,Inner Focus,,,Absorb / Poison Fang / Air Cutter / Bite,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 393,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Bronzor,,37,Heatproof,,,Confuse Ray / Payback / Extrasensory / Iron Defense,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Golbat,,37,Inner Focus,,,Screech / Astonish / Poison Fang / Bite,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 394,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Dustox,,38,Shield Dust,,,Light Screen / Toxic / Bug Buzz / Protect,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Croagunk,,38,Anticipation,,,Revenge / Venoshock / Sucker Punch / Toxic,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 395,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Croagunk,,35,Anticipation,,,Taunt / Revenge / Sucker Punch / Poison Jab,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Stunky,,35,Aftermath,,,Poison Gas / Smokescreen / Acid Spray / Bite,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,35,Own Tempo,,,Growl / Hypnosis / Aerial Ace / Retaliate,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 396,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Beautifly,,40,Swarm,,,Stun Spore / Leech Life / Giga Drain / Quiver Dance,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 397,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Wurmple,,34,Shield Dust,,,Tackle / String Shot / Poison Sting / Bug Bite,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Silcoon,,36,Shed Skin,,,Tackle / Poison Sting / Harden,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Beautifly,,38,Swarm,,,Air Cutter / Leech Life / Attract / Bug Buzz,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 398,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Bronzor,,38,Levitate,,,Hypnosis / Safeguard / Extrasensory / Heavy Slam,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,38,Own Tempo,,,Aerial Ace / Charm / Taunt / Slash,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 399,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Golbat,,37,Inner Focus,,,Screech / Astonish / Poison Fang / Bite,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,37,Own Tempo,,,Fake Out / Hypnosis / Aerial Ace / Retaliate,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Bronzor,,37,Levitate,,,Confuse Ray / Extrasensory / Heavy Slam / Iron Defense,Quirky,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 400,,Team Galactic Grunt,,,,,,,,,,,,,,,,,
,Stunky,,38,Aftermath,,,Venoshock / Toxic / Memento / Night Slash,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,38,Own Tempo,,,Aerial Ace / Charm / Taunt / Retaliate,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 401,,Commander Mars,,,,,,,,,,,,,,,,,
,Bronzor,,41,Levitate,,,Confuse Ray / Payback / Gyro Ball / Reflect,Sassy,68,0,68,0,68,0,15,0,15,0,15,0
,Golbat,,42,Inner Focus,,,Poison Fang / Bite / Haze / U-turn,Jolly,68,0,68,0,68,0,15,0,15,0,15,0
,Purugly,,45,,Thick Fat,Sitrus Berry,Aerial Ace / Body Slam / Dig / U-turn,Jolly,68,0,68,0,68,0,15,0,15,0,15,0
,Trainer ID 402,,Roughneck Kirby,,,,,,,,,,,,,,,,,
,Cleffa,,19,Cute Charm,,,Sing / Sweet Kiss / Disarming Voice / Encore,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 403,,Poké Fan Leonard,,,,,,,,,,,,,,,,,
,Pichu,,15,Static,,,Thunder Shock / Tail Whip / Play Nice / Nuzzle,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Pichu,,15,Static,,,Thunder Shock / Tail Whip / Play Nice / Nuzzle,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,18,Static,,,Nuzzle / Thunder Shock / Quick Attack / Electro Ball,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 404,,Poké Fan Rebekah,,,,,,,,,,,,,,,,,
,Bonsly,,19,Sturdy,,,Fake Tears / Copycat / Flail / Rock Throw,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 405,,Youngster Oliver,,,,,,,,,,,,,,,,,
,Stunky,,16,Stench,,,Poison Gas / Acid Spray / Fury Swipes / Focus Energy,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Kricketune,,16,Swarm,,,Fury Cutter / Growl / Pound / Absorb,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Shellos,,16,Storm Drain,,,Mud-Slap / Harden / Recover / Water Pulse,Hasty,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 406,,Ranchers Beth,,,,,,,,,,,,,,,,,
,Ponyta,,19,Run Away,,,Tackle / Growl / Tail Whip / Flame Charge,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 407,,Ranchers Bob,,,,,,,,,,,,,,,,,
,Buizel,,19,Swift Swim,,,Growl / Quick Attack / Water Gun / Bite,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 408,,Young Couple Mike,,,,,,,,,,,,,,,,,
,Murkrow,,19,Insomnia,,,Peck / Astonish / Gust / Wing Attack,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 409,,Young Couple Nat,,,,,,,,,,,,,,,,,
,Misdreavus,,19,Levitate,,,Growl / Confusion / Astonish / Confuse Ray,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 410,,Aroma Lady Alison,,,,,,,,,,,,,,,,,
,Roselia,,23,Poison Point,,,Poison Sting / Mega Drain / Leech Seed / Magical Leaf,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 411,,Artist Ismael,,,,,,,,,,,,,,,,,
,Mr. Mime,,23,Soundproof,,,Wide Guard / Power Swap / Encore / Confusion,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 412,,Pokémon Breeder Kaylee,,,,,,,,,,,,,,,,,
,Stunky,,21,Stench,,,Poison Gas / Acid Spray / Fury Swipes / Bite,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Buizel,,21,Swift Swim,,,Growl / Water Gun / Bite / Swift,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 413,,Cameraman Darryl,,,,,,,,,,,,,,,,,
,Luxio,,21,Intimidate,,,Leer / Charge / Bite / Spark,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Pikachu,,21,Static,,,Nuzzle / Tail Whip / Growl / Spark,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 414,,Collector Eugene,,,,,,,,,,,,,,,,,
,Clefairy,,20,Magic Guard,,,Disarming Voice / Encore / Growl / Minimize,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Clefairy,,20,Magic Guard,,,Disarming Voice / Growl / Minimize / Life Dew,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Clefairy,,20,Magic Guard,,,Disarming Voice / Growl / Minimize / Life Dew,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 415,,Poké Fan Meredith,,,,,,,,,,,,,,,,,
,Marill,,21,Thick Fat,,,Tail Whip / Helping Hand / Aqua Tail / Play Rough,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Aipom,,21,Pickup,,,Tail Whip / Sand Attack / Tickle / Fury Swipes,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 416,,PI Kendrick,,,,,,,,,,,,,,,,,
,Goldeen,,22,Swift Swim,,,Peck / Tail Whip / Water Pulse / Horn Attack,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Goldeen,,22,Swift Swim,,,Peck / Tail Whip / Water Pulse / Horn Attack,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 417,,Gentleman Leonardo,,,,,,,,,,,,,,,,,
,Starly,,21,Keen Eye,,,Growl / Quick Attack / Wing Attack / Endeavor,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Hoothoot,,21,Insomnia,,,Reflect / Psycho Shift / Air Slash / Extrasensory,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 418,,Madame Rebecca,,,,,,,,,,,,,,,,,
,Lopunny,,22,Cute Charm,,,Mirror Coat / Magic Coat / Baby-Doll Eyes / Quick Attack,Careful,0,0,0,0,0,0,0,0,0,0,0,0
,Glameow,,20,Limber,,,Fake Out / Growl / Aerial Ace / Fury Swipes,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 419,,Lass Blythe,,,,,,,,,,,,,,,,,
,Bidoof,,21,Unaware,,,Growl / Headbutt / Taunt / Yawn,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Bidoof,,21,Unaware,,,Growl / Headbutt / Taunt / Yawn,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 420,,Rich Boy Roman,,,,,,,,,,,,,,,,,
,Sudowoodo,,23,Sturdy,,,Stone Edge / Hammer Arm / Wood Hammer / Flail,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 421,,Lady Kylie,,,,,,,,,,,,,,,,,
,Bonsly,,21,Sturdy,,,Copycat / Flail / Rock Throw / Rock Tomb,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Pichu,,21,Static,,,Thunder Shock / Tail Whip / Nuzzle / Charm,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 422,,Reporter Valerie,,,,,,,,,,,,,,,,,
,Murkrow,,23,Insomnia,,,Astonish / Gust / Wing Attack / Night Shade,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 423,,School Kid Esteban,,,,,,,,,,,,,,,,,
,Wooper,,23,Damp,,,Tail Whip / Mud Shot / Slam / Yawn,Naive,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 424,,Scientist Emilio,,,,,,,,,,,,,,,,,
,Kadabra,,23,Synchronize,,,Kinesis / Psybeam / Reflect / Ally Switch,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 425,,Beauty Gabriella,,,,,,,,,,,,,,,,,
,Finneon,,23,Swift Swim,,,Attract / Rain Dance / Gust / Water Pulse,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 426,,Beauty Harley,,,,,,,,,,,,,,,,,
,Psyduck,,23,Damp,,,Tail Whip / Fury Swipes / Water Pulse / Zen Headbutt,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 427,,Veteran Emanuel,,,,,,,,,,,,,,,,,
,Machop,,23,No Guard,,,Leer / Revenge / Low Sweep / Knock Off,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Bronzor,,23,Levitate,,,Tackle / Confuse Ray / Payback / Gyro Ball,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 428,,Ruin Maniac Karl,,,,,,,,,,,,,,,,,
,Geodude,,16,Rock Head,,,Tackle / Sandstorm / Harden / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Geodude,,17,Rock Head,,,Defense Curl / Sandstorm / Rollout / Rock Throw,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Bronzor,,18,Levitate,,,Confusion / Confuse Ray / Payback / Gyro Ball,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 429,,Bird Keeper Audrey,,,,,,,,,,,,,,,,,
,Farfetch'd,,52,Inner Focus,,,Slash / False Swipe / Knock Off / Aerial Ace,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Swellow,,54,Guts,,,Quick Attack / Endeavor / Brave Bird / Agility,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 430,,Bird Keeper Geneva,,,,,,,,,,,,,,,,,
,Golbat,,53,Inner Focus,,,Poison Fang / Mean Look / Venoshock / Air Cutter,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Xatu,,57,Synchronize,,,Future Sight / Confuse Ray / Night Shade / Wish,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 431,,Bird Keeper Krystal,,,,,,,,,,,,,,,,,
,Dodrio,,55,Early Bird,,,Drill Peck / Lunge / Quick Attack / Swords Dance,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Fearow,,55,Keen Eye,,,Drill Run / Drill Peck / Roost / Assurance,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Honchkrow,,55,Insomnia,,,Night Slash / Swagger / Foul Play / Wing Attack,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 432,,Dragon Tamer Geoffrey,,,,,,,,,,,,,,,,,
,Dratini,,53,Shed Skin,,,Dragon Rush / Dragon Dance / Outrage / Safeguard,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Dragonair,,55,Shed Skin,,,Dragon Rush / Dragon Dance / Aqua Tail / Safeguard,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 433,,Dragon Tamer Darien,,,,,,,,,,,,,,,,,
,Gyarados,,60,Intimidate,,,Dragon Dance / Waterfall / Ice Fang / Crunch,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 434,,Dragon Tamer Keegan,,,,,,,,,,,,,,,,,
,Gyarados,,58,Intimidate,,,Rain Dance / Hydro Pump / Hyper Beam / Hurricane,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 435,,Dragon Tamer Stanley,,,,,,,,,,,,,,,,,
,Seadra,,56,Poison Point,,,Dragon Pulse / Hydro Pump / Agility / Focus Energy,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Gyarados,,56,Intimidate,,,Dragon Dance / Hyper Beam / Waterfall / Thrash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 436,,Dragon Tamer Drake,,,,,,,,,,,,,,,,,
,Vibrava,,57,Levitate,,,Dragon Rush / Earthquake / Superpower / Crunch,Bashful,0,0,0,0,0,0,0,0,0,0,0,0
,Seadra,,57,Poison Point,,,Agility / Hydro Pump / Dragon Pulse / Twister,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Dragonair,,57,Shed Skin,,,Thunder Wave / Rain Dance / Aqua Tail / Dragon Rush,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 437,,Dragon Tamer Kenny,,,,,,,,,,,,,,,,,
,Bagon,,57,Rock Head,,,Double-Edge / Outrage / Zen Headbutt / Scary Face,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Shelgon,,59,Rock Head,,,Dragon Claw / Headbutt / Crunch / Dragon Breath,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 438,,Ace Trainer Rodolfo,,,,,,,,,,,,,,,,,
,Lickitung,,53,Own Tempo,,,Slam / Knock Off / Stomp / Lick,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Miltank,,53,Scrappy,,,Milk Drink / Body Slam / Charm / Play Rough,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 439,,Ace Trainer Saul,,,,,,,,,,,,,,,,,
,Tauros,,55,Intimidate,,,Thrash / Zen Headbutt / Swagger / Payback,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 440,,Ace Trainer Jose,,,,,,,,,,,,,,,,,
,Golduck,,55,Damp,,,Hydro Pump / Zen Headbutt / Screech / Disable,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Sandslash,,55,Sand Veil,,,Sand Tomb / Dig / Crush Claw / Slash,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 441,,Ace Trainer Felix,,,,,,,,,,,,,,,,,
,Dusclops,,55,Pressure,,,Curse / Will-O-Wisp / Night Shade / Shadow Sneak,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Salamence,,55,Intimidate,,,Dragon Claw / Crunch / Flamethrower / Fly,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 442,,Ace Trainer Quinn,,,,,,,,,,,,,,,,,
,Pinsir,,53,Hyper Cutter,,,Superpower / X-Scissor / Swords Dance / Guillotine,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Mightyena,,53,Intimidate,,,Crunch / Sucker Punch / Headbutt / Scary Face,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 443,,Ace Trainer Graham,,,,,,,,,,,,,,,,,
,Skarmory,,56,Keen Eye,,,Brave Bird / Steel Wing / Autotomize / Metal Sound,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 444,,Ace Trainer Keenan,,,,,,,,,,,,,,,,,
,Primeape,,57,Vital Spirit,,,Final Gambit / Outrage / Close Combat / Thrash,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Torkoal,,57,Drought,,,Flamethrower / Lava Plume / Clear Smog / Rapid Spin,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 445,,Ace Trainer Stefan,,,,,,,,,,,,,,,,,
,Larvitar,,57,Guts,,,Stone Edge / Earthquake / Crunch / Scary Face,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Magcargo,,57,Flame Body,,,Flamethrower / Ancient Power / Clear Smog / Body Slam,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 446,,Ace Trainer Skyler,,,,,,,,,,,,,,,,,
,Loudred,,57,Soundproof,,,Hyper Voice / Roar / Rest / Sleep Talk,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Rampardos,,57,Mold Breaker,,,Zen Headbutt / Take Down / Assurance / Swords Dance,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 447,,Ace Trainer Abel,,,,,,,,,,,,,,,,,
,Aerodactyl,,59,Rock Head,,,Stone Edge / Take Down / Crunch / Iron Head,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 448,,Ace Trainer Deanna,,,,,,,,,,,,,,,,,
,Flaaffy,,53,Static,,,Discharge / Power Gem / Thunder Wave / Light Screen,Modest,0,0,0,0,0,0,0,0,0,0,0,0
,Tropius,,53,Chlorophyll,,,Solar Beam / Air Slash / Synthesis / Sunny Day,Timid,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 449,,Ace Trainer Ariana,,,,,,,,,,,,,,,,,
,Ambipom,,54,Technician,,,Double Hit / Astonish / Agility / Baton Pass,Jolly,0,0,0,0,0,0,0,0,0,0,0,0
,Rapidash,,54,Flash Fire,,,Flame Wheel / Poison Jab / Smart Strike / Flame Charge,Adamant,0,0,0,0,0,0,0,0,0,0,0,0
,Chansey,,54,Natural Cure,,,Charm / Soft-Boiled / Disarming Voice / Covet,Bold,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 450,,Ace Trainer Dana,,,,,,,,,,,,,,,,,
,Mightyena,,55,Intimidate,,,Crunch / Sucker Punch / Thunder Fang / Scary Face,Relaxed,0,0,0,0,0,0,0,0,0,0,0,0
,Kirlia,,55,Synchronize,,,Hypnosis / Psychic / Calm Mind / Dream Eater,Sassy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 451,,Ace Trainer Mikayla,,,,,,,,,,,,,,,,,
,Meowth,,56,Technician,,,Taunt / Play Rough / Feint / Bite,Careful,0,0,0,0,0,0,0,0,0,0,0,0
,Persian,,56,Technician,,,Fake Out / Slash / Taunt / Pay Day,Careful,0,0,0,0,0,0,0,0,0,0,0,0
,Hypno,,56,Insomnia,,,Future Sight / Psychic / Hypnosis / Disable,Calm,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 452,,Ace Trainer Meagan,,,,,,,,,,,,,,,,,
,Delcatty,,55,Cute Charm,,,Double-Edge / Play Rough / Feint Attack / Attract,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Yanma,,55,Compound Eyes,,,Air Slash / Hypnosis / Detect / Ancient Power,Hardy,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 453,,Ace Trainer Sandra,,,,,,,,,,,,,,,,,
,Granbull,,57,Intimidate,,,Payback / Play Rough / Outrage / Scary Face,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 454,,Ace Trainer Kassandra,,,,,,,,,,,,,,,,,
,Stantler,,58,Intimidate,,,Double-Edge / Lunge / Zen Headbutt / Hypnosis,Docile,0,0,0,0,0,0,0,0,0,0,0,0
,Carnivine,,58,Levitate,,,Power Whip / Crunch / Stockpile / Growth,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 455,,Ace Trainer Jasmin,,,,,,,,,,,,,,,,,
,Drapion,,59,Battle Armor,,,Crunch / X-Scissor / Cross Poison / Toxic,Impish,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 456,,Ace Trainer Natasha,,,,,,,,,,,,,,,,,
,Dunsparce,,56,Serene Grace,,,Glare / Double-Edge / Coil / Flail,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Scyther,,56,Swarm,,,X-Scissor / Slash / Wing Attack / Fury Cutter,Careful,0,0,0,0,0,0,0,0,0,0,0,0
,Marowak,,56,Rock Head,,,Thrash / Bonemerang / Bone Rush / Retaliate,Serious,0,0,0,0,0,0,0,0,0,0,0,0
,Trainer ID 457,,Ace Trainer Monique,,,,,,,,,,,,,,,,,
